,Description,UnitPrice,TotalReturned,Total$Returned,Unit_Sold,Total_Revenue,Net_Revenue,Return_Rate
1831,SET OF 12 FORK CANDLES,2.89,1,2.89,602.0,1739.78,1736.8899999999999,0.16611295681063123
1832,SET OF 12 MINI LOAF BAKING CASES,0.83,9,7.47,2440.0,2025.2,2017.73,0.36885245901639346
1833,SET OF 16 VINTAGE PISTACHIO CUTLERY,12.75,4,51.0,69.0,879.75,828.75,5.797101449275362
1834,SET OF 16 VINTAGE RED CUTLERY,12.75,1,12.75,36.0,459.0,446.25,2.7777777777777777
1835,SET OF 16 VINTAGE ROSE CUTLERY,12.75,10,127.5,63.0,803.25,675.75,15.873015873015872
1836,SET OF 2 CERAMIC CHRISTMAS REINDEER,1.45,12,17.4,552.0,800.4,783.0,2.1739130434782608
1837,SET OF 2 CERAMIC PAINTED HEARTS,1.45,6,8.7,758.0,1099.1,1090.3999999999999,0.79155672823219
1838,SET OF 2 ROUND TINS CAMEMBERT,2.95,6,17.700000000000003,117.0,345.15000000000003,327.45000000000005,5.128205128205128
1839,SET OF 2 ROUND TINS DUTCH CHEESE,2.95,4,11.8,117.0,345.15000000000003,333.35,3.418803418803419
1840,SET OF 2 TEA TOWELS APPLE AND PEARS,2.95,6,17.700000000000003,229.0,675.5500000000001,657.85,2.6200873362445414
1841,SET OF 2 TRAYS HOME SWEET HOME,9.95,6,59.699999999999996,200.0,1989.9999999999998,1930.2999999999997,3.0
1842,SET OF 2 WOODEN MARKET CRATES,12.75,6,76.5,290.0,3697.5,3621.0,2.0689655172413794
1843,SET OF 20 KIDS COOKIE CUTTERS,2.1,13,27.300000000000004,2668.0,5602.8,5575.5,0.4872563718140929
1844,SET OF 20 VINTAGE CHRISTMAS NAPKINS,0.85,67,56.949999999999996,4766.0,4051.1,3994.15,1.405791019723038
1845,SET OF 3 BABUSHKA STACKING TINS,4.95,9,44.55,28.0,138.6,94.05,32.142857142857146
1846,SET OF 3 BIRD LIGHT PINK FEATHER,1.25,2,2.5,45.0,56.25,53.75,4.444444444444445
1848,SET OF 3 BLACK FLYING DUCKS,4.65,29,134.85,410.0,1906.5,1771.65,7.073170731707316
1849,SET OF 3 BUTTERFLY COOKIE CUTTERS,1.25,38,47.5,2566.0,3207.5,3160.0,1.4809041309431021
1850,SET OF 3 BUTTERFLY COOKIE CUTTERS,1.45,25,36.25,1013.0,1468.85,1432.6,2.4679170779861797
1851,SET OF 3 CAKE TINS PANTRY DESIGN,4.25,46,195.5,1302.0,5533.5,5338.0,3.5330261136712746
1852,SET OF 3 CAKE TINS PANTRY DESIGN,4.95,87,430.65,3048.0,15087.6,14656.95,2.8543307086614176
1853,SET OF 3 COLOURED  FLYING DUCKS,4.65,32,148.8,324.0,1506.6,1357.8,9.876543209876543
1854,SET OF 3 COLOURED  FLYING DUCKS,5.45,4,21.8,63.0,343.35,321.55,6.349206349206349
1855,SET OF 3 GOLD FLYING DUCKS,1.95,2,3.9,73.0,142.35,138.45,2.73972602739726
1856,SET OF 3 HANGING OWLS OLLIE BEAK,1.04,4,4.16,780.0,811.2,807.0400000000001,0.5128205128205128
1857,SET OF 3 HANGING OWLS OLLIE BEAK,1.25,73,91.25,2222.0,2777.5,2686.25,3.2853285328532857
1858,SET OF 3 HEART COOKIE CUTTERS,1.25,60,75.0,3255.0,4068.75,3993.75,1.8433179723502304
1859,SET OF 3 NOTEBOOKS IN PARCEL,1.65,24,39.599999999999994,2186.0,3606.8999999999996,3567.2999999999997,1.0978956999085088
1860,SET OF 3 REGENCY CAKE TINS,4.15,8,33.2,1940.0,8051.0,8017.8,0.4123711340206186
1861,SET OF 3 REGENCY CAKE TINS,4.95,40,198.0,2005.0,9924.75,9726.75,1.99501246882793
1862,SET OF 3 WOODEN HEART DECORATIONS,1.25,47,58.75,3065.0,3831.25,3772.5,1.533442088091354
1863,SET OF 3 WOODEN SLEIGH DECORATIONS,1.25,1,1.25,1423.0,1778.75,1777.5,0.07027406886858749
1864,SET OF 3 WOODEN STOCKING DECORATION,1.25,12,15.0,1526.0,1907.5,1892.5,0.7863695937090431
1865,SET OF 3 WOODEN TREE DECORATIONS,1.25,15,18.75,1413.0,1766.25,1747.5,1.0615711252653928
1866,SET OF 36 DINOSAUR PAPER DOILIES,1.45,2,2.9,189.0,274.05,271.15000000000003,1.0582010582010581
1867,SET OF 36 DOILIES PANTRY DESIGN,1.45,6,8.7,1443.0,2092.35,2083.65,0.4158004158004158
1868,SET OF 36 DOLLY GIRL PAPER DOILIES,1.45,2,2.9,18.0,26.099999999999998,23.2,11.11111111111111
1869,SET OF 36 MUSHROOM PAPER DOILIES,1.45,1,1.45,115.0,166.74999999999997,165.29999999999998,0.8695652173913043
1870,SET OF 36 PAISLEY FLOWER DOILIES,1.45,48,69.6,1506.0,2183.7,2114.1,3.187250996015936
1871,SET OF 36 SPACEBOY PAPER DOILIES,1.45,6,8.7,14.0,20.299999999999997,11.599999999999998,42.857142857142854
1872,SET OF 36 TEATIME PAPER DOILIES,1.45,3,4.35,1514.0,2195.2999999999997,2190.95,0.19815059445178335
1873,SET OF 36 VINTAGE CHRISTMAS DOILIES,1.45,1,1.45,27.0,39.15,37.699999999999996,3.7037037037037033
1874,SET OF 4 DIAMOND NAPKIN RINGS,3.95,1,3.95,40.0,158.0,154.05,2.5
1875,SET OF 4 ENGLISH ROSE COASTERS,1.25,1,1.25,729.0,911.25,910.0,0.1371742112482853
1876,SET OF 4 ENGLISH ROSE PLACEMATS,3.75,5,18.75,368.0,1380.0,1361.25,1.358695652173913
1877,SET OF 4 JAM JAR MAGNETS,2.08,60,124.80000000000001,1416.0,2945.28,2820.48,4.23728813559322
1878,SET OF 4 KNICK KNACK TINS DOILEY,3.75,1,3.75,240.0,900.0,896.25,0.4166666666666667
1879,SET OF 4 KNICK KNACK TINS DOILEY,4.15,18,74.7,661.0,2743.15,2668.4500000000003,2.723146747352496
1880,SET OF 4 KNICK KNACK TINS DOILY,3.75,1,3.75,192.0,720.0,716.25,0.5208333333333333
1881,SET OF 4 KNICK KNACK TINS DOILY,4.15,23,95.45,1299.0,5390.849999999999,5295.4,1.770592763664357
1882,SET OF 4 KNICK KNACK TINS LEAF,4.15,8,33.2,377.0,1564.55,1531.35,2.122015915119363
1883,SET OF 4 KNICK KNACK TINS LEAVES,4.15,3,12.450000000000001,183.0,759.4499999999999,746.9999999999999,1.639344262295082
1884,SET OF 4 KNICK KNACK TINS LONDON,4.15,12,49.8,903.0,3747.45,3697.6499999999996,1.3289036544850499
1885,SET OF 4 KNICK KNACK TINS POPPIES,4.15,27,112.05,501.0,2079.15,1967.1000000000001,5.389221556886228
1886,SET OF 4 PANTRY JELLY MOULDS,1.25,54,67.5,6759.0,8448.75,8381.25,0.7989347536617843
1887,SET OF 4 PISTACHIO LOVEBIRD COASTER,0.79,24,18.96,312.0,246.48000000000002,227.52,7.6923076923076925
1888,SET OF 4 SANTA PLACE SETTINGS,1.25,48,60.0,786.0,982.5,922.5,6.106870229007633
1889,SET OF 5 LUCKY CAT MAGNETS,2.08,12,24.96,1217.0,2531.36,2506.4,0.9860312243221034
1890,SET OF 5 MINI GROCERY MAGNETS,2.08,12,24.96,908.0,1888.64,1863.68,1.3215859030837005
1891,SET OF 5 PANCAKE DAY MAGNETS,2.08,12,24.96,892.0,1855.3600000000001,1830.4,1.345291479820628
1892,SET OF 6 HERB TINS SKETCHBOOK,3.95,2,7.9,566.0,2235.7000000000003,2227.8,0.35335689045936397
1893,SET OF 6 KASHMIR FOLKART BAUBLES,1.65,58,95.69999999999999,411.0,678.15,582.45,14.111922141119221
1894,SET OF 6 RIBBONS VINTAGE CHRISTMAS,2.89,24,69.36,2069.0,5979.41,5910.05,1.1599806669888835
1895,SET OF 6 SNACK LOAF BAKING CASES,0.83,10,8.299999999999999,1843.0,1529.69,1521.39,0.5425935973955507
1896,SET OF 6 SPICE TINS PANTRY DESIGN,3.45,1,3.45,1104.0,3808.8,3805.3500000000004,0.09057971014492754
1897,SET OF 6 SPICE TINS PANTRY DESIGN,3.95,29,114.55000000000001,2041.0,8061.950000000001,7947.400000000001,1.4208721215090643
1898,SET OF 6 T-LIGHTS CACTI,2.95,1,2.95,105.0,309.75000000000006,306.80000000000007,0.9523809523809524
1899,SET OF 6 T-LIGHTS EASTER CHICKS,2.95,18,53.1,254.0,749.3000000000001,696.2,7.086614173228346
1900,SET OF 6 T-LIGHTS SANTA,2.55,12,30.6,318.0,810.9,780.3,3.7735849056603774
1901,SET OF 6 T-LIGHTS SNOWMEN,2.55,48,122.4,192.0,489.6,367.20000000000005,25.0
1902,SET OF 6 T-LIGHTS SNOWMEN,2.95,6,17.700000000000003,601.0,1772.9500000000003,1755.2500000000002,0.9983361064891847
1903,SET OF 6 TEA TIME BAKING CASES,1.25,25,31.25,2016.0,2520.0,2488.75,1.2400793650793651
1904,SET OF 60 I LOVE LONDON CAKE CASES,0.55,64,35.2,2804.0,1542.2,1507.0,2.282453637660485
1905,SET OF 60 PANTRY DESIGN CAKE CASES,0.55,39,21.45,5849.0,3216.95,3195.5,0.6667806462643187
1906,SET OF 72 GREEN PAPER DOILIES,1.45,5,7.25,42.0,60.9,53.65,11.904761904761903
1907,SET OF 72 PINK HEART PAPER DOILIES,1.45,13,18.849999999999998,2073.0,3005.85,2987.0,0.6271104679208876
1908,SET OF 72 RETROSPOT PAPER  DOILIES,1.25,96,120.0,660.0,825.0,705.0,14.545454545454545
1909,SET OF 72 RETROSPOT PAPER  DOILIES,1.45,24,34.8,2434.0,3529.2999999999997,3494.4999999999995,0.9860312243221034
1910,SET OF 9 BLACK SKULL BALLOONS,0.85,10,8.5,1397.0,1187.45,1178.95,0.7158196134574087
1911,SET OF 9 HEART SHAPED BALLOONS,1.25,12,15.0,1500.0,1875.0,1860.0,0.8
1913,SET OF SALT AND PEPPER TOADSTOOLS,1.06,24,25.44,144.0,152.64000000000001,127.20000000000002,16.666666666666664
1914,SET OF SALT AND PEPPER TOADSTOOLS,1.25,61,76.25,1591.0,1988.75,1912.5,3.8340666247642994
1915,SET OF TEA COFFEE SUGAR TINS PANTRY,4.15,42,174.3,716.0,2971.4,2797.1,5.865921787709497
1916,SET OF TEA COFFEE SUGAR TINS PANTRY,4.95,60,297.0,1028.0,5088.6,4791.6,5.836575875486381
1917,SET/10 BLUE POLKADOT PARTY CANDLES,1.25,25,31.25,1890.0,2362.5,2331.25,1.3227513227513228
1918,SET/10 PINK POLKADOT PARTY CANDLES,1.25,25,31.25,2648.0,3310.0,3278.75,0.9441087613293051
1919,SET/2 RED RETROSPOT TEA TOWELS,2.75,200,550.0,800.0,2200.0,1650.0,25.0
1920,SET/20 RED RETROSPOT PAPER NAPKINS,0.85,12,10.2,4500.0,3825.0,3814.8,0.26666666666666666
1921,SET/3 DECOUPAGE STACKING TINS,4.95,3,14.85,69.0,341.55,326.7,4.3478260869565215
1923,SET/3 POT PLANT CANDLES,5.45,12,65.4,48.0,261.6,196.20000000000002,25.0
1924,SET/3 RED GINGHAM ROSE STORAGE BOX,3.39,27,91.53,1508.0,5112.12,5020.59,1.790450928381963
1925,SET/3 RED GINGHAM ROSE STORAGE BOX,3.75,12,45.0,669.0,2508.75,2463.75,1.7937219730941705
1926,SET/3 ROSE CANDLE IN JEWELLED BOX,4.25,7,29.75,229.0,973.25,943.5,3.056768558951965
1927,SET/3 VANILLA SCENTED CANDLE IN BOX,3.81,120,457.2,262.0,998.22,541.02,45.80152671755725
1928,SET/3 VANILLA SCENTED CANDLE IN BOX,4.25,10,42.5,353.0,1500.25,1457.75,2.8328611898017
1929,SET/4 BIRD MIRROR MAGNETS,0.29,27,7.83,415.0,120.35,112.52,6.506024096385541
1930,SET/4 BLUE FLOWER CANDLES IN BOWL,1.65,4,6.6,135.0,222.75,216.15,2.9629629629629632
1931,SET/4 DAISY MIRROR MAGNETS,0.29,18,5.22,398.0,115.41999999999999,110.19999999999999,4.522613065326634
1932,SET/4 DAISY MIRROR MAGNETS,2.1,1,2.1,14.0,29.400000000000002,27.3,7.142857142857142
1933,SET/4 MODERN VINTAGE COTTON NAPKINS,2.95,2,5.9,12.0,35.400000000000006,29.500000000000007,16.666666666666664
1934,SET/4 SKULL BADGES,1.25,6,7.5,564.0,705.0,697.5,1.0638297872340425
1935,SET/4 SPRING FLOWER DECORATION,0.75,8,6.0,824.0,618.0,612.0,0.9708737864077669
1936,SET/4 WHITE RETRO STORAGE CUBES,34.95,30,1048.5,217.0,7584.150000000001,6535.650000000001,13.82488479262673
1937,SET/4 WHITE RETRO STORAGE CUBES,39.95,5,199.75,100.0,3995.0,3795.25,5.0
1938,SET/5 RED RETROSPOT LID GLASS BOWLS,2.55,36,91.8,1828.0,4661.4,4569.599999999999,1.9693654266958425
1939,SET/5 RED RETROSPOT LID GLASS BOWLS,2.95,42,123.9,3041.0,8970.95,8847.050000000001,1.3811246300559026
1940,SET/6 BLACK BIRD T-LIGHT CANDLES,2.1,1,2.1,35.0,73.5,71.4,2.857142857142857
1941,SET/6 COLLAGE PAPER PLATES,0.39,24,9.36,1068.0,416.52,407.15999999999997,2.247191011235955
1942,SET/6 FROG PRINCE T-LIGHT CANDLES,2.55,5,12.75,98.0,249.9,237.15,5.1020408163265305
1943,SET/6 FRUIT SALAD PAPER CUPS,0.19,12,2.28,1022.0,194.18,191.9,1.1741682974559686
1944,SET/6 PINK  BUTTERFLY T-LIGHTS,2.1,3,6.300000000000001,896.0,1881.6000000000001,1875.3000000000002,0.33482142857142855
1945,SET/6 PINK BIRD T-LIGHT CANDLES,0.85,2,1.7,192.0,163.2,161.5,1.0416666666666665
1946,SET3 BOOK BOX GREEN GINGHAM FLOWER,3.75,25,93.75,464.0,1740.0,1646.25,5.387931034482758
1947,SET3 BOOK BOX GREEN GINGHAM FLOWER,4.25,10,42.5,340.0,1445.0,1402.5,2.941176470588235
1948,SEWING BOX RETROSPOT DESIGN,14.95,16,239.2,33.0,493.34999999999997,254.14999999999998,48.484848484848484
1949,SEWING SUSAN 21 NEEDLE SET,0.85,1,0.85,565.0,480.24999999999994,479.3999999999999,0.17699115044247787
1950,SHELF WITH 4 HOOKS HOME SWEET HOME,6.25,2,12.5,166.0,1037.5,1025.0,1.2048192771084338
1951,SHOE SHINE BOX,9.95,2,19.9,47.0,467.65,447.75,4.25531914893617
1952,SILVER BELLS TABLE DECORATION,1.25,1,1.25,1721.0,2151.25,2150.0,0.058105752469494475
1953,SILVER BRACELET W PASTEL FLOWER,7.5,2,15.0,19.0,142.5,127.5,10.526315789473683
1954,SILVER CHRISTMAS TREE BAUBLE STAND,16.95,4,67.8,24.0,406.79999999999995,338.99999999999994,16.666666666666664
1955,SILVER FISHING GNOME,6.95,2,13.9,32.0,222.4,208.5,6.25
1956,SILVER GLASS T-LIGHT SET,2.95,3,8.850000000000001,36.0,106.2,97.35,8.333333333333332
1957,SILVER HANGING T-LIGHT HOLDER,1.45,108,156.6,2520.0,3654.0,3497.4,4.285714285714286
1958,SILVER HANGING T-LIGHT HOLDER,1.65,155,255.75,2097.0,3460.0499999999997,3204.2999999999997,7.391511683357177
1959,SILVER MUG BONE CHINA TREE OF LIFE,1.06,5,5.300000000000001,885.0,938.1,932.8000000000001,0.5649717514124294
1960,SILVER MUG BONE CHINA TREE OF LIFE,1.95,12,23.4,64.0,124.8,101.4,18.75
1961,SILVER PHOTO FRAME,2.1,1,2.1,75.0,157.5,155.4,1.3333333333333335
1962,SILVER ROCCOCO CHANDELIER,29.95,1,29.95,9.0,269.55,239.60000000000002,11.11111111111111
1963,SILVER ROCOCO CANDLE STICK,1.95,13,25.349999999999998,132.0,257.4,232.04999999999998,9.848484848484848
1964,SILVER ROCOCO CANDLE STICK,5.95,2,11.9,14.0,83.30000000000001,71.4,14.285714285714285
1965,SILVER T-LIGHT SETTING,5.95,37,220.15,86.0,511.70000000000005,291.55000000000007,43.02325581395349
1966,SINGLE ANTIQUE ROSE HOOK IVORY,1.45,15,21.75,1648.0,2389.6,2367.85,0.9101941747572815
1967,SINGLE HEART ZINC T-LIGHT HOLDER,0.95,12,11.4,3221.0,3059.95,3048.5499999999997,0.37255510710959333
1968,SINGLE WIRE HOOK IVORY HEART,1.45,12,17.4,541.0,784.4499999999999,767.05,2.2181146025878005
1969,SINGLE WIRE HOOK PINK HEART,1.45,12,17.4,101.0,146.45,129.04999999999998,11.881188118811881
1970,SKETCHBOOK MAGNETIC SHOPPING LIST,1.45,15,21.749999999999996,584.0,846.8,825.05,2.5684931506849313
1971,SKULL LUNCH BOX WITH CUTLERY,2.55,4,10.2,756.0,1927.8,1917.6,0.5291005291005291
1972,SKULLS  DESIGN  COTTON TOTE BAG,2.25,12,27.0,111.0,249.75,222.75,10.81081081081081
1973,SKULLS AND CROSSBONES WRAP,0.42,25,10.5,4275.0,1795.5,1785.0,0.5847953216374269
1974,SKULLS DESIGN FLANNEL,0.85,12,10.2,156.0,132.6,122.39999999999999,7.6923076923076925
1975,SKULLS PARTY BAG + STICKER SET,1.65,10,16.5,566.0,933.9,917.4,1.76678445229682
1976,SKULLS STORAGE BOX SMALL,2.1,3,6.300000000000001,54.0,113.4,107.10000000000001,5.555555555555555
1977,SLEEPING CAT ERASERS,0.21,60,12.6,2583.0,542.43,529.8299999999999,2.3228803716608595
1978,SMALL BONNE JAM JAR  T-LIGHT HOLDER,2.08,30,62.400000000000006,152.0,316.16,253.76000000000002,19.736842105263158
1979,SMALL CERAMIC TOP STORAGE JAR,0.69,504,347.76,3270.0,2256.2999999999997,1908.5399999999997,15.412844036697248
1980,SMALL CERAMIC TOP STORAGE JAR,0.83,6,4.98,1619.0,1343.77,1338.79,0.3705991352686844
1981,SMALL DECO JEWELLERY STAND,8.25,1,8.25,128.0,1056.0,1047.75,0.78125
1982,SMALL DOLLY MIX DESIGN ORANGE BOWL,0.42,16,6.72,3951.0,1659.4199999999998,1652.6999999999998,0.40496076942546194
1984,SMALL GLASS HEART TRINKET POT,1.85,72,133.20000000000002,1194.0,2208.9,2075.7000000000003,6.030150753768844
1985,SMALL GLASS HEART TRINKET POT,2.1,63,132.3,2386.0,5010.6,4878.3,2.6404023470243088
1986,SMALL GLASS SUNDAE DISH CLEAR,0.42,36,15.12,252.0,105.83999999999999,90.71999999999998,14.285714285714285
1987,SMALL GLASS SUNDAE DISH CLEAR,1.65,3,4.949999999999999,240.0,396.0,391.05,1.25
1988,SMALL HANGING IVORY/RED WOOD BIRD,0.42,24,10.08,1965.0,825.3,815.2199999999999,1.2213740458015268
1989,SMALL HEART FLOWERS HOOK,0.85,1,0.85,1421.0,1207.85,1207.0,0.07037297677691766
1991,SMALL HEART MEASURING SPOONS,0.85,25,21.25,1793.0,1524.05,1502.8,1.3943112102621305
1992,SMALL IVORY HEART WALL ORGANISER,5.75,4,23.0,317.0,1822.75,1799.75,1.2618296529968454
1993,SMALL MARSHMALLOWS PINK BOWL,0.42,16,6.72,2719.0,1141.98,1135.26,0.5884516366311144
1994,SMALL PARISIENNE HEART PHOTO FRAME,2.49,3,7.470000000000001,686.0,1708.14,1700.67,0.43731778425655976
1995,SMALL PINK GLASS SUNDAE DISH,0.42,68,28.56,372.0,156.23999999999998,127.67999999999998,18.27956989247312
1996,SMALL POPCORN HOLDER,0.72,2,1.44,12496.0,8997.12,8995.68,0.016005121638924456
1997,SMALL POPCORN HOLDER,0.85,40,34.0,4201.0,3570.85,3536.85,0.952154248988336
1998,SMALL RED RETROSPOT MUG IN BOX,0.5,234,117.0,336.0,168.0,51.0,69.64285714285714
1999,SMALL RED RETROSPOT MUG IN BOX,3.39,36,122.04,162.0,549.1800000000001,427.14000000000004,22.22222222222222
2000,SMALL RED RETROSPOT MUG IN BOX,3.75,26,97.5,160.0,600.0,502.5,16.25
2001,SMALL RED RETROSPOT WINDMILL,1.25,15,18.75,1458.0,1822.5,1803.75,1.02880658436214
2002,SMALL SKULL WINDMILL,1.25,12,15.0,293.0,366.25,351.25,4.09556313993174
2004,SMALL WHITE HEART OF WICKER,1.65,39,64.35,3305.0,5453.249999999999,5388.899999999999,1.1800302571860817
2005,SMALL WHITE RETROSPOT MUG IN BOX,0.5,244,122.0,353.0,176.5,54.5,69.12181303116147
2006,SMALL WHITE RETROSPOT MUG IN BOX,1.0,36,36.0,72.0,72.0,36.0,50.0
2007,SMALL WHITE RETROSPOT MUG IN BOX,3.75,3,11.25,154.0,577.5,566.25,1.948051948051948
2008,SMALL WHITE/PINK ROSE ART FLOWER,1.25,2,2.5,41.0,51.25,48.75,4.878048780487805
2009,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,0.85,3,2.55,241.0,204.85,202.29999999999998,1.2448132780082988
2010,SOAP DISH BROCANTE,2.95,13,38.35000000000001,350.0,1032.5,994.15,3.7142857142857144
2011,SOLDIERS EGG CUP,1.06,38,40.28,4668.0,4948.08,4907.8,0.8140531276778064
2012,SOLDIERS EGG CUP,1.25,74,92.5,3976.0,4970.0,4877.5,1.8611670020120725
2013,SPACEBOY BABY GIFT SET,16.95,6,101.69999999999999,110.0,1864.5,1762.8,5.454545454545454
2014,SPACEBOY BEAKER,1.25,6,7.5,802.0,1002.5,995.0,0.7481296758104738
2015,SPACEBOY CHILDRENS CUP,1.25,9,11.25,655.0,818.75,807.5,1.3740458015267176
2016,SPACEBOY CHILDRENS EGG CUP,1.25,1,1.25,786.0,982.5,981.25,0.1272264631043257
2017,SPACEBOY GIFT WRAP,0.42,50,21.0,4452.0,1869.84,1848.84,1.1230907457322552
2018,SPACEBOY LUNCH BOX,1.65,42,69.3,1972.0,3253.7999999999997,3184.4999999999995,2.129817444219067
2019,SPACEBOY LUNCH BOX,1.95,10,19.5,3580.0,6981.0,6961.5,0.27932960893854747
2020,SPACEBOY MINI BACKPACK,4.15,2,8.3,439.0,1821.8500000000001,1813.5500000000002,0.45558086560364464
2022,SPOTTY BUNTING,4.15,2,8.3,2147.0,8910.050000000001,8901.750000000002,0.09315323707498836
2023,SPOTTY BUNTING,4.95,57,282.15,4272.0,21146.4,20864.25,1.3342696629213482
2024,SPOTTY PINK DUCK DOORSTOP,4.25,2,8.5,99.0,420.75,412.25,2.0202020202020203
2025,SPRIG LAVENDER ARTIFICIAL FLOWER,0.42,48,20.16,144.0,60.480000000000004,40.32000000000001,33.33333333333333
2026,SPRIG LAVENDER ARTIFICIAL FLOWER,1.25,12,15.0,76.0,95.0,80.0,15.789473684210526
2027,SQUARE CHERRY BLOSSOM CABINET,5.95,20,119.0,97.0,577.15,458.15,20.618556701030926
2028,STAR DECORATION PAINTED ZINC,0.19,3,0.5700000000000001,3342.0,634.9799999999999,634.4099999999999,0.08976660682226212
2029,STAR DECORATION PAINTED ZINC,0.65,18,11.7,181.0,117.64999999999999,105.94999999999999,9.94475138121547
2030,STAR DECORATION RUSTIC,0.42,48,20.16,2155.0,905.1,884.94,2.2273781902552203
2031,STAR PORTABLE TABLE LIGHT,2.95,9,26.55,125.0,368.75000000000006,342.20000000000005,7.199999999999999
2032,STAR T-LIGHT HOLDER WILLIE WINKIE,1.65,3,4.949999999999999,933.0,1539.4499999999998,1534.4999999999998,0.3215434083601286
2033,STAR WREATH DECORATION WITH BELL,1.25,12,15.0,973.0,1216.25,1201.25,1.2332990750256936
2034,STARS GIFT TAPE,0.19,1,0.19,384.0,72.96000000000001,72.77000000000001,0.26041666666666663
2035,STORAGE TIN HOME SWEET HOME,2.49,4,9.96,116.0,288.84,278.88,3.4482758620689653
2036,STORAGE TIN VINTAGE DOILY,2.89,12,34.68,494.0,1427.66,1392.98,2.42914979757085
2037,STORAGE TIN VINTAGE LEAF,2.89,10,28.9,275.0,794.75,765.85,3.6363636363636362
2038,STRAWBERRY   PICNIC BAG,2.95,16,47.2,803.0,2368.85,2321.65,1.9925280199252802
2039,STRAWBERRY BATH SPONGE,1.25,50,62.5,919.0,1148.75,1086.25,5.44069640914037
2040,STRAWBERRY CERAMIC TRINKET BOX,1.06,195,206.7,3717.0,3940.02,3733.32,5.246166263115415
2041,STRAWBERRY CERAMIC TRINKET BOX,1.25,132,165.0,4121.0,5151.25,4986.25,3.2031060422227613
2042,STRAWBERRY CERAMIC TRINKET POT,1.25,17,21.25,494.0,617.5,596.25,3.4412955465587043
2043,STRAWBERRY CHARLOTTE BAG,0.72,6,4.32,1580.0,1137.6,1133.28,0.37974683544303794
2044,STRAWBERRY CHARLOTTE BAG,0.85,67,56.95,3813.0,3241.05,3184.1000000000004,1.7571466037241017
2045,STRAWBERRY FAIRY CAKE TEAPOT,4.25,4,17.0,43.0,182.75,165.75,9.30232558139535
2046,STRAWBERRY FAIRY CAKE TEAPOT,4.95,17,84.15,432.0,2138.4,2054.25,3.935185185185185
2047,STRAWBERRY HONEYCOMB  GARLAND,1.65,2,3.3,380.0,626.9999999999999,623.6999999999999,0.5263157894736842
2048,STRAWBERRY LUNCH BOX WITH CUTLERY,2.1,1,2.1,522.0,1096.2,1094.1000000000001,0.19157088122605362
2049,STRAWBERRY LUNCH BOX WITH CUTLERY,2.55,8,20.4,1247.0,3179.85,3159.45,0.6415396952686447
2050,STRAWBERRY RAFFIA FOOD COVER,3.75,2,7.5,227.0,851.25,843.75,0.881057268722467
2051,STRAWBERRY SHOPPER BAG,1.25,10,12.5,1264.0,1580.0,1567.5,0.7911392405063291
2052,STRIPEY CHOCOLATE NESTING BOXES,2.55,24,61.2,96.0,244.8,183.60000000000002,25.0
2053,STRIPY DESIGN SHOWER CAP,0.29,1,0.29,183.0,53.06999999999999,52.779999999999994,0.546448087431694
2054,SUKI  SHOULDER BAG,1.65,1,1.65,1083.0,1786.95,1785.3,0.09233610341643582
2055,SUMMER FUN DESIGN SHOWER CAP,0.29,2,0.58,302.0,87.57999999999998,86.99999999999999,0.6622516556291391
2056,SUNFLOWER DECORATIVE PARASOL,12.75,1,12.75,18.0,229.5,216.75,5.555555555555555
2057,SWALLOW SQUARE TISSUE BOX,0.39,10,3.9,1326.0,517.14,513.24,0.7541478129713424
2058,SWEET HEART CAKE CARRIER,9.95,9,89.55,60.0,597.0,507.45,15.0
2059,SWEET PUDDING STICKER SHEET,0.85,1,0.85,65.0,55.24999999999999,54.39999999999999,1.5384615384615385
2060,SWEETHEART 3 TIER CAKE STAND,8.5,1,8.5,12.0,102.0,93.5,8.333333333333332
2061,SWEETHEART 3 TIER CAKE STAND,9.95,10,99.5,176.0,1751.1999999999998,1651.6999999999998,5.681818181818182
2062,SWEETHEART BIRD HOUSE,4.15,4,16.6,199.0,825.85,809.25,2.0100502512562812
2063,SWEETHEART CAKESTAND 3 TIER,8.5,30,255.0,308.0,2618.0,2363.0,9.740259740259742
2064,SWEETHEART CAKESTAND 3 TIER,9.95,36,358.2,523.0,5203.849999999999,4845.65,6.8833652007648185
2065,SWEETHEART CERAMIC TRINKET BOX,1.06,43,45.58,2160.0,2289.6000000000004,2244.0200000000004,1.990740740740741
2066,SWEETHEART CERAMIC TRINKET BOX,1.25,99,123.75,2948.0,3685.0,3561.25,3.3582089552238807
2069,SWEETHEART RECIPE BOOK STAND,6.75,1,6.75,612.0,4131.0,4124.25,0.16339869281045752
2070,SWEETHEART WALL TIDY,9.95,5,49.75,72.0,716.4,666.65,6.944444444444445
2071,SWEETHEART WIRE MAGAZINE RACK,7.95,5,39.75,276.0,2194.2000000000003,2154.4500000000003,1.8115942028985508
2072,SWEETHEART WIRE WALL TIDY,8.5,8,68.0,50.0,425.0,357.0,16.0
2073,SWEETHEART WIRE WALL TIDY,9.95,2,19.9,143.0,1422.85,1402.9499999999998,1.3986013986013985
2074,SWIRLY CIRCULAR RUBBERS IN BAG,0.42,1,0.42,186.0,78.12,77.7,0.5376344086021506
2075,T-LIGHT GLASS FLUTED ANTIQUE,1.06,150,159.0,4272.0,4528.32,4369.32,3.51123595505618
